"BASIN_NUM","ELEVATION","STATION_ID","STATION_NAME","ACTUAL_DATE","VALUE"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1995-10-01","0"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1995-11-01","1.41"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1995-12-01","18.79"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-01-01","18.7"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-02-01","17.04"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-03-01","10.03"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-04-01","8.9"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-05-01","11.42"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-06-01","0.39"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-07-01","0.08"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-08-01","0"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-09-01","1.53"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-10-01","3.15"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-11-01","12.16"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1996-12-01","43.32"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-01-01","32.04"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-02-01","1.77"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-03-01","3"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-04-01","3.03"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-05-01","1.18"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-06-01","2.56"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-07-01","0"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-08-01","0.87"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-09-01","0.43"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-10-01","4.1"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-11-01","10.35"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1997-12-01","6.81"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-01-01","25.75"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-02-01","25.08"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-03-01","9.06"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-04-01","9.41"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-05-01","9.5"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-06-01","1.78"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-07-01","0"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-08-01","0"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-09-01","1.68"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-10-01","1.85"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-11-01","16.72"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1998-12-01","5.99"
"7701","5280","BYM","BLUE CANYON (DWR-2)","1999-01-01","17.24"
